word,Type,last_practiced
a,sight_words,
about,sight_words,
after,sight_words,
all,sight_words,
am,sight_words,
an,sight_words,
and,sight_words,
are,sight_words,
as,sight_words,
at,sight_words,
be,sight_words,
been,sight_words,
but,sight_words,
by,sight_words,
called,sight_words,
can,sight_words,
could,sight_words,
did,sight_words,
do,sight_words,
down,sight_words,
each,sight_words,
find,sight_words,
first,sight_words,
for,sight_words,
from,sight_words,
go,sight_words,
had,sight_words,
has,sight_words,
have,sight_words,
he,sight_words,
her,sight_words,
him,sight_words,
his,sight_words,
how,sight_words,
I,sight_words,
if,sight_words,
in,sight_words,
into,sight_words,
is,sight_words,
it,sight_words,
its,sight_words,
just,sight_words,
know,sight_words,
like,sight_words,
little,sight_words,
long,sight_words,
made,sight_words,
make,sight_words,
many,sight_words,
may,sight_words,
me,sight_words,
more,sight_words,
most,sight_words,
my,sight_words,
no,sight_words,
not,sight_words,
now,sight_words,
of,sight_words,
on,sight_words,
one,sight_words,
only,sight_words,
or,sight_words,
other,sight_words,
out,sight_words,
over,sight_words,
people,sight_words,
said,sight_words,
see,sight_words,
she,sight_words,
so,sight_words,
some,sight_words,
than,sight_words,
that,sight_words,
the,sight_words,
their,sight_words,
them,sight_words,
then,sight_words,
there,sight_words,
these,sight_words,
they,sight_words,
this,sight_words,
time,sight_words,
to,sight_words,
two,sight_words,
up,sight_words,
us,sight_words,
use,sight_words,
very,sight_words,
was,sight_words,
water,sight_words,
way,sight_words,
we,sight_words,
were,sight_words,
what,sight_words,
when,sight_words,
where,sight_words,
which,sight_words,
who,sight_words,
will,sight_words,
with,sight_words,
words,sight_words,
would,sight_words,
you,sight_words,
your,sight_words,
